	chr	start	end	count_unique	count_total	non_unique	result	oddsratio	pvalue	qValue
11:2000000:2010000	11	2000000	2010000	14	14	0	(inf, 3.889385422036176e-30)	inf	3.889385422036176e-30	1.0558601035988763e-27
11:2010000:2020000	11	2010000	2020000	86	86	0	(inf, 2.919145500736664e-181)	inf	2.919145500736664e-181	1.6302176559256807e-177
11:3020000:3030000	11	3020000	3030000	7	43	36	(24.34291646701805, 4.936941008891128e-08)	24.34291646701805	4.936941008891128e-08	7.174531521173679e-06
11:56460000:56470000	11	56460000	56470000	20	35	15	(166.92285577383805, 2.8195731130322703e-33)	166.92285577383805	2.8195731130322703e-33	8.225578517511753e-31
11:71270000:71280000	11	71270000	71280000	6	44	38	(19.767180289007136, 1.3526020020765492e-06)	19.767180289007136	1.3526020020765492e-06	0.00017924039818703884
11:76750000:76760000	11	76750000	76760000	4	29	25	(20.030742692860564, 8.000309847495506e-05)	20.030742692860564	8.000309847495506e-05	0.009477215532069526
11:112830000:112840000	11	112830000	112840000	4	13	9	(55.64095192461268, 2.665302727264721e-06)	55.64095192461268	2.665302727264721e-06	0.0003450066695835512
11:124090000:124100000	11	124090000	124100000	5	27	22	(28.45275950690421, 2.1841412962125687e-06)	28.45275950690421	2.1841412962125687e-06	0.0002836626297393413
12:11330000:11340000	12	11330000	11340000	9	26	17	(66.27819273372981, 3.4236619206633617e-13)	66.27819273372981	3.4236619206633617e-13	6.225013572212658e-11
12:11420000:11430000	12	11420000	11430000	15	72	57	(32.945300481678565, 2.3307922196021483e-17)	32.945300481678565	2.3307922196021483e-17	4.578659771290813e-15
12:11500000:11510000	12	11500000	11510000	7	63	56	(15.649017728797316, 7.379865397614846e-07)	15.649017728797316	7.379865397614846e-07	9.982480903929396e-05
12:93790000:93800000	12	93790000	93800000	6	17	11	(68.28662281657012, 2.8490208970126174e-09)	68.28662281657012	2.8490208970126174e-09	4.454956996240689e-07
14:19550000:19560000	14	19550000	19560000	22	24	2	(1377.113560134164, 1.6672990430076445e-44)	1377.113560134164	1.6672990430076445e-44	6.583641837298468e-42
14:19570000:19580000	14	19570000	19580000	19	19	0	(inf, 1.2252539421455256e-40)	inf	1.2252539421455256e-40	4.2765738487815073e-38
14:20010000:20020000	14	20010000	20020000	28	28	0	(inf, 1.5411444097121642e-59)	inf	1.5411444097121642e-59	8.859767244774694e-57
14:106330000:106340000	14	106330000	106340000	5	39	34	(18.410609092702725, 1.4391988636442766e-05)	18.410609092702725	1.4391988636442766e-05	0.001803242371076348
14:106350000:106360000	14	106350000	106360000	8	83	75	(13.353828461907044, 3.6269477505969617e-07)	13.353828461907044	3.6269477505969617e-07	5.0637371952263006e-05
14:106360000:106370000	14	106360000	106370000	6	87	81	(9.273491987435447, 7.235329306039537e-05)	9.273491987435447	7.235329306039537e-05	0.008623277232673707
14:106470000:106480000	14	106470000	106480000	30	71	41	(91.60400621735015, 6.797154483395624e-44)	91.60400621735015	6.797154483395624e-44	2.657143630649017e-41
14:106510000:106520000	14	106510000	106520000	5	22	17	(36.82121818540545, 7.36385394582522e-07)	36.82121818540545	7.36385394582522e-07	9.982480903929396e-05
14:106570000:106580000	14	106570000	106580000	6	18	12	(62.596070915189266, 4.2445307029973645e-09)	62.596070915189266	4.2445307029973645e-09	6.58441246990369e-07
14:106660000:106670000	14	106660000	106670000	4	25	21	(23.846122253405436, 4.370198622988115e-05)	23.846122253405436	4.370198622988115e-05	0.005289158036218308
14:106690000:106700000	14	106690000	106700000	8	20	12	(83.46142788691903, 1.805683738001091e-12)	83.46142788691903	1.805683738001091e-12	3.123353481678701e-10
14:106780000:106790000	14	106780000	106790000	25	51	26	(120.37705945228706, 6.243263596224643e-39)	120.37705945228706	6.243263596224643e-39	2.140891758803629e-36
14:106790000:106800000	14	106790000	106800000	9	33	24	(46.94705318639195, 4.01950568425004e-12)	46.94705318639195	4.01950568425004e-12	6.861594594266488e-10
14:106800000:106810000	14	106800000	106810000	37	37	0	(inf, 1.9534207832510496e-78)	inf	1.9534207832510496e-78	1.6969583390855563e-75
14:106810000:106820000	14	106810000	106820000	12	22	10	(150.23057019645424, 3.711763163396774e-20)	150.23057019645424	3.711763163396774e-20	7.557304457474306e-18
14:106870000:106880000	14	106870000	106880000	6	21	15	(50.07685673215141, 1.2156285030208996e-08)	50.07685673215141	1.2156285030208996e-08	1.8348011366831277e-06
14:106920000:106930000	14	106920000	106930000	28	33	5	(701.0759942501198, 3.519515994686962e-54)	701.0759942501198	3.519515994686962e-54	1.763909221337214e-51
14:106990000:107000000	14	106990000	107000000	18	28	10	(225.34585529468137, 1.8781414678581166e-31)	225.34585529468137	1.8781414678581166e-31	5.24430759010782e-29
14:107040000:107050000	14	107040000	107050000	23	43	20	(143.97096310493532, 4.016192076341702e-37)	143.97096310493532	4.016192076341702e-37	1.2764307369784538e-34
14:107080000:107090000	14	107080000	107090000	24	54	30	(100.15371346430283, 4.313604747606228e-36)	100.15371346430283	4.313604747606228e-36	1.3277750928615957e-33
14:107090000:107100000	14	107090000	107100000	28	35	7	(500.7685673215141, 9.819542302932167e-53)	500.7685673215141	9.819542302932167e-53	4.624886116942461e-50
14:107130000:107140000	14	107130000	107140000	26	41	15	(216.99971250598946, 1.3801429554215582e-44)	216.99971250598946	1.3801429554215582e-44	5.5053620829938316e-42
14:107170000:107180000	14	107170000	107180000	39	50	11	(443.8630483077057, 4.236863285993316e-72)	443.8630483077057	4.236863285993316e-72	3.3125491915210136e-69
15:20730000:20740000	15	20730000	20740000	14	30	16	(109.54312410158121, 5.021899175587736e-22)	109.54312410158121	5.021899175587736e-22	1.0727654785359333e-19
15:20740000:20750000	15	20740000	20750000	16	26	10	(200.30742692860565, 1.207176246816812e-27)	200.30742692860565	1.207176246816812e-27	2.895149315371952e-25
15:22360000:22370000	15	22360000	22370000	46	46	0	(inf, 2.4950579199728846e-97)	inf	2.4950579199728846e-97	3.3633380761234484e-94
15:22380000:22390000	15	22380000	22390000	45	45	0	(inf, 3.134857806744998e-95)	inf	3.134857806744998e-95	3.9531568187508217e-92
15:22410000:22420000	15	22410000	22420000	24	28	4	(751.1528509822712, 7.682950484280869e-47)	751.1528509822712	7.682950484280869e-47	3.1614936877000815e-44
15:22740000:22750000	15	22740000	22750000	38	38	0	(inf, 1.5535656524859104e-80)	inf	1.5535656524859104e-80	1.4123718252785863e-77
15:23440000:23450000	15	23440000	23450000	28	29	1	(3505.379971250599, 4.435029010900137e-58)	3505.379971250599	4.435029010900137e-58	2.407974362418169e-55
15:79050000:79060000	15	79050000	79060000	10	174	164	(7.633667184779179, 1.6236220302725717e-06)	7.633667184779179	1.6236220302725717e-06	0.0002144278121872141
16:60000:70000	16	60000	70000	9	53	44	(25.60748355621379, 4.0035456906635603e-10)	25.60748355621379	4.0035456906635603e-10	6.494050130266387e-08
16:1290000:1300000	16	1290000	1300000	22	72	50	(55.084542405366555, 7.505160967785382e-29)	55.084542405366555	7.505160967785382e-29	1.9302088983728036e-26
16:32850000:32860000	16	32850000	32860000	8	19	11	(91.04883042209347, 1.0910948046733482e-12)	91.04883042209347	1.0910948046733482e-12	1.9126940853941941e-10
16:70860000:70870000	16	70860000	70870000	5	37	32	(19.561272160996644, 1.1040458496345629e-05)	19.561272160996644	1.1040458496345629e-05	0.0013922374307714302
16:70890000:70900000	16	70890000	70900000	5	35	30	(20.865356971729756, 8.331409885885785e-06)	20.865356971729756	8.331409885885785e-06	0.0010574398547371659
16:70920000:70930000	16	70920000	70930000	10	32	22	(56.90551901380842, 5.4010943018176424e-14)	56.90551901380842	5.4010943018176424e-14	1.0102372174481115e-11
16:70930000:70940000	16	70930000	70940000	7	14	7	(125.19214183037853, 6.431541659328381e-12)	125.19214183037853	6.431541659328381e-12	1.0884061755258228e-09
16:70990000:71000000	16	70990000	71000000	16	26	10	(200.30742692860565, 1.207176246816812e-27)	200.30742692860565	1.207176246816812e-27	2.895149315371952e-25
16:74410000:74420000	16	74410000	74420000	4	15	11	(45.52441521104674, 5.0241275946557795e-06)	45.52441521104674	5.0241275946557795e-06	0.0006460631445075123
17:21200000:21210000	17	21200000	21210000	32	44	12	(333.8457115476761, 1.1817024663320477e-57)	333.8457115476761	1.1817024663320477e-57	6.3280976457332065e-55
17:21310000:21320000	17	21310000	21320000	50	62	12	(521.6339242932439, 1.970532448068312e-93)	521.6339242932439	1.970532448068312e-93	2.407251701871452e-90
17:21320000:21330000	17	21320000	21330000	17	81	64	(33.254162673694296, 1.5434438880807234e-19)	33.254162673694296	1.5434438880807234e-19	3.126233599629619e-17
17:36470000:36480000	17	36470000	36480000	4	24	20	(25.038428366075706, 3.694271395824042e-05)	25.038428366075706	3.694271395824042e-05	0.004498955059363036
17:36720000:36730000	17	36720000	36730000	3	11	8	(46.94705318639195, 7.833306741369759e-05)	46.94705318639195	7.833306741369759e-05	0.00930758745087011
17:39390000:39400000	17	39390000	39400000	5	39	34	(18.410609092702725, 1.4391988636442766e-05)	18.410609092702725	1.4391988636442766e-05	0.001803242371076348
17:45660000:45670000	17	45660000	45670000	5	32	27	(23.18372996858862, 5.2713892840635975e-06)	23.18372996858862	5.2713892840635975e-06	0.0006734285944203078
17:72880000:72890000	17	72880000	72890000	7	19	12	(73.02874940105414, 9.119889079396314e-11)	73.02874940105414	9.119889079396314e-11	1.52356711064855e-08
17:80540000:80550000	17	80540000	80550000	14	106	92	(19.05097810462282, 2.0769953814462088e-13)	19.05097810462282	2.0769953814462088e-13	3.794107637920336e-11
18:14530000:14540000	18	14530000	14540000	7	38	31	(28.269193316537088, 2.001745449062552e-08)	28.269193316537088	2.001745449062552e-08	2.998169850373689e-06
18:14540000:14550000	18	14540000	14550000	4	20	16	(31.298035457594633, 1.727641726936675e-05)	31.298035457594633	1.727641726936675e-05	0.002150858929598997
19:870000:880000	19	870000	880000	14	123	109	(16.079724638764215, 1.6716172399726326e-12)	16.079724638764215	1.6716172399726326e-12	2.904304939778229e-10
19:8800000:8810000	19	8800000	8810000	6	33	27	(27.82047596230634, 2.2867695779625963e-07)	27.82047596230634	2.2867695779625963e-07	3.215625767687547e-05
19:40370000:40380000	19	40370000	40380000	47	78	31	(189.80744083960616, 8.29773838691862e-78)	189.80744083960616	8.29773838691862e-78	7.051634543943971e-75
19:40380000:40390000	19	40380000	40390000	17	27	10	(212.8266411116435, 1.5213794624003055e-29)	212.8266411116435	1.5213794624003055e-29	3.991527915714949e-27
19:40390000:40400000	19	40390000	40400000	63	83	20	(394.35524676569236, 3.650415679988495e-114)	394.35524676569236	3.650415679988495e-114	5.708081990484409e-111
19:40400000:40410000	19	40400000	40410000	78	78	0	(inf, 1.763483686375379e-164)	inf	1.763483686375379e-164	7.659789363087368e-161
19:40410000:40420000	19	40410000	40420000	28	36	8	(438.17249640632485, 4.384894252655303e-52)	438.17249640632485	4.384894252655303e-52	2.016638660291778e-49
19:42390000:42400000	19	42390000	42400000	10	77	67	(18.685394303041573, 6.637235904288037e-10)	18.685394303041573	6.637235904288037e-10	1.0590319427364407e-07
19:43860000:43870000	19	43860000	43870000	9	77	68	(16.569548183432453, 1.2280537325368489e-08)	16.569548183432453	1.2280537325368489e-08	1.846426019705019e-06
19:44890000:44900000	19	44890000	44900000	9	68	59	(19.0971063809052, 4.000022057747047e-09)	19.0971063809052	4.000022057747047e-09	6.229835150655281e-07
19:48980000:48990000	19	48980000	48990000	6	28	22	(34.14331140828506, 8.047324980800523e-08)	34.14331140828506	8.047324980800523e-08	1.1523297734412236e-05
19:54660000:54670000	19	54660000	54670000	8	89	81	(12.364655983247262, 6.226258466438015e-07)	12.364655983247262	6.226258466438015e-07	8.510380977971849e-05
19:54670000:54680000	19	54670000	54680000	9	73	64	(17.60514494489698, 7.60404687239219e-09)	17.60514494489698	7.60404687239219e-09	1.165715295433551e-06
19:54720000:54730000	19	54720000	54730000	76	148	72	(132.14726082095513, 3.4668491014530865e-117)	132.14726082095513	3.4668491014530865e-117	5.646919378083502e-114
19:54740000:54750000	19	54740000	54750000	77	106	29	(332.4067214116947, 1.5681425483638712e-136)	332.4067214116947	1.5681425483638712e-136	3.831364281290028e-133
19:54750000:54760000	19	54750000	54760000	14	132	118	(14.853304962926266, 4.4376173750042804e-12)	14.853304962926266	4.4376173750042804e-12	7.542406018420318e-10
19:54780000:54790000	19	54780000	54790000	26	161	135	(24.11107916733216, 6.061113669525407e-26)	24.11107916733216	6.061113669525407e-26	1.4040771411308485e-23
19:54800000:54810000	19	54800000	54810000	113	118	5	(2829.342405366555, 1.1856676835072848e-229)	2829.342405366555	1.1856676835072848e-229	9.270024216733355e-226
19:54840000:54850000	19	54840000	54850000	20	105	85	(29.45697454832436, 8.055187831125566e-22)	29.45697454832436	8.055187831125566e-22	1.692975283303014e-19
19:54870000:54880000	19	54870000	54880000	17	65	48	(44.33888356492573, 2.53125297690972e-21)	44.33888356492573	2.53125297690972e-21	5.291536971837154e-19
19:54960000:54970000	19	54960000	54970000	9	127	118	(9.5485531904526, 9.45332466594732e-07)	9.5485531904526	9.45332466594732e-07	0.00012699290991106965
19:55020000:55030000	19	55020000	55030000	4	12	8	(62.596070915189266, 1.8569622354222066e-06)	62.596070915189266	1.8569622354222066e-06	0.00024359854935276812
19:55040000:55050000	19	55040000	55050000	8	67	59	(16.975205671915734, 6.711674376538584e-08)	16.975205671915734	6.711674376538584e-08	9.68165220397219e-06
19:55080000:55090000	19	55080000	55090000	24	107	83	(36.20013739673596, 1.0272817105163802e-27)	36.20013739673596	1.0272817105163802e-27	2.4943165607146793e-25
19:55100000:55110000	19	55100000	55110000	17	130	113	(18.83421602757907, 6.777392924654769e-16)	18.83421602757907	6.777392924654769e-16	1.311593288171308e-13
19:55140000:55150000	19	55140000	55150000	34	271	237	(17.960054102248396, 1.2714646690691004e-29)	17.960054102248396	1.2714646690691004e-29	3.381231077772059e-27
19:55170000:55180000	19	55170000	55180000	15	142	127	(14.786473444532898, 8.194639466373204e-13)	14.786473444532898	8.194639466373204e-13	1.4627618539701428e-10
19:55250000:55260000	19	55250000	55260000	5	13	8	(78.24508864398658, 3.8196085931642464e-08)	78.24508864398658	3.8196085931642464e-08	5.59236476119763e-06
19:55260000:55270000	19	55260000	55270000	6	33	27	(27.82047596230634, 2.2867695779625963e-07)	27.82047596230634	2.2867695779625963e-07	3.215625767687547e-05
19:55280000:55290000	19	55280000	55290000	8	33	25	(40.06148538572113, 1.8155800004813695e-10)	40.06148538572113	1.8155800004813695e-10	2.982128293227634e-08
19:55290000:55300000	19	55290000	55300000	13	29	16	(101.71861523718256, 2.955293645969662e-20)	101.71861523718256	2.955293645969662e-20	6.048604147028588e-18
19:55300000:55310000	19	55300000	55310000	6	11	5	(150.23057019645424, 1.1079231294466634e-10)	150.23057019645424	1.1079231294466634e-10	1.843018339418254e-08
19:55320000:55330000	19	55320000	55330000	9	12	3	(375.5764254911356, 2.664745141748617e-17)	375.5764254911356	2.664745141748617e-17	5.208510854061847e-15
19:55330000:55340000	19	55330000	55340000	16	36	20	(100.15371346430283, 1.5408947315222702e-24)	100.15371346430283	1.5408947315222702e-24	3.422537320719806e-22
19:55340000:55350000	19	55340000	55350000	10	41	31	(40.38456188076727, 8.795083235021334e-13)	40.38456188076727	8.795083235021334e-13	1.5628063355611544e-10
19:55360000:55370000	19	55360000	55370000	8	18	10	(100.15371346430283, 6.361673882718173e-13)	100.15371346430283	6.361673882718173e-13	1.1460394259134508e-10
20:29620000:29630000	20	29620000	29630000	8	27	19	(52.7124807706857, 3.028748247668458e-11)	52.7124807706857	3.028748247668458e-11	5.081537617933707e-09
21:35750000:35760000	21	35750000	35760000	11	11	0	(inf, 7.786972699684579e-24)	inf	7.786972699684579e-24	1.681814015337401e-21
21:35770000:35780000	21	35770000	35780000	31	31	0	(inf, 7.734941840226402e-66)	inf	7.734941840226402e-66	5.399541900323758e-63
21:35790000:35800000	21	35790000	35800000	19	19	0	(inf, 1.2252539421455256e-40)	inf	1.2252539421455256e-40	4.2765738487815073e-38
21:35820000:35830000	21	35820000	35830000	14	18	4	(438.17249640632485, 1.1552832301876238e-26)	438.17249640632485	1.1552832301876238e-26	2.7538007338106458e-24
21:44470000:44480000	21	44470000	44480000	67	69	2	(4193.936751317681, 4.877121410437152e-138)	4193.936751317681	4.877121410437152e-138	1.3618316441200654e-134
21:44480000:44490000	21	44480000	44490000	70	72	2	(4381.724964063249, 2.696569959645454e-144)	4381.724964063249	2.696569959645454e-144	8.108793297112314e-141
21:44490000:44500000	21	44490000	44500000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
21:44510000:44520000	21	44510000	44520000	28	29	1	(3505.379971250599, 4.435029010900137e-58)	3505.379971250599	4.435029010900137e-58	2.407974362418169e-55
21:44520000:44530000	21	44520000	44530000	15	15	0	(inf, 3.0865090983969e-32)	inf	3.0865090983969e-32	8.743319831487798e-30
21:44570000:44580000	21	44570000	44580000	21	21	0	(inf, 7.724185051824004e-45)	inf	7.724185051824004e-45	3.1129262066588034e-42
21:44580000:44590000	21	44580000	44590000	41	47	6	(855.47963584092, 8.012484195025972e-80)	855.47963584092	8.012484195025972e-80	7.118728003453529e-77
21:44590000:44600000	21	44590000	44600000	31	31	0	(inf, 7.734941840226402e-66)	inf	7.734941840226402e-66	5.399541900323758e-63
21:44830000:44840000	21	44830000	44840000	69	69	0	(inf, 1.343573915981052e-145)	inf	1.343573915981052e-145	4.3769159602942736e-142
21:44840000:44850000	21	44840000	44850000	64	64	0	(inf, 4.16519963811181e-135)	inf	4.16519963811181e-135	9.045888014059271e-132
21:45510000:45520000	21	45510000	45520000	14	24	10	(175.26899856252996, 7.081638241619689e-24)	175.26899856252996	7.081638241619689e-24	1.5552550682100948e-21
21:45520000:45530000	21	45520000	45530000	25	29	4	(782.4508864398658, 7.078838761543168e-49)	782.4508864398658	7.078838761543168e-49	3.040944668859841e-46
21:45530000:45540000	21	45530000	45540000	84	84	0	(inf, 4.573923596017584e-177)	inf	4.573923596017584e-177	2.2350477651939927e-173
21:45540000:45550000	21	45540000	45550000	76	76	0	(inf, 2.767324426889186e-160)	inf	2.767324426889186e-160	1.0818024649595206e-156
21:45550000:45560000	21	45550000	45560000	47	47	0	(inf, 1.9860241363522732e-99)	inf	1.9860241363522732e-99	2.7727734120815378e-96
21:45560000:45570000	21	45560000	45570000	64	64	0	(inf, 4.16519963811181e-135)	inf	4.16519963811181e-135	9.045888014059271e-132
21:45640000:45650000	21	45640000	45650000	45	45	0	(inf, 3.134857806744998e-95)	inf	3.134857806744998e-95	3.9531568187508217e-92
21:45650000:45660000	21	45650000	45660000	38	38	0	(inf, 1.5535656524859104e-80)	inf	1.5535656524859104e-80	1.4123718252785863e-77
21:45660000:45670000	21	45660000	45670000	26	26	0	(inf, 2.4414063064939666e-55)	inf	2.4414063064939666e-55	1.2394734458891187e-52
21:45670000:45680000	21	45670000	45680000	39	89	50	(97.64987062769525, 2.2278819147685315e-57)	97.64987062769525	2.2278819147685315e-57	1.1769237812450194e-54
21:45990000:46000000	21	45990000	46000000	24	102	78	(38.520659024731856, 2.914998945327956e-28)	38.520659024731856	2.914998945327956e-28	7.399554465633796e-26
21:46010000:46020000	21	46010000	46020000	24	67	43	(69.8746838123043, 2.7088681937659914e-33)	69.8746838123043	2.7088681937659914e-33	7.962035746669182e-31
21:46020000:46030000	21	46020000	46030000	30	79	49	(76.64825010023175, 3.696666280861579e-42)	76.64825010023175	3.696666280861579e-42	1.3762864595375318e-39
21:46050000:46060000	21	46050000	46060000	12	75	63	(23.846122253405436, 1.0163201096259968e-12)	23.846122253405436	1.0163201096259968e-12	1.7977369106560846e-10
22:16270000:16280000	22	16270000	16280000	15	15	0	(inf, 3.0865090983969e-32)	inf	3.0865090983969e-32	8.743319831487798e-30
22:16280000:16290000	22	16280000	16290000	53	56	3	(2211.727839003354, 1.370372540846496e-107)	2211.727839003354	1.370372540846496e-107	2.0604078217988932e-104
22:16440000:16450000	22	16440000	16450000	30	30	0	(inf, 9.7322063714205e-64)	inf	9.7322063714205e-64	6.448329007992715e-61
22:18000000:18010000	22	18000000	18010000	4	11	7	(71.5383667602163, 1.2458619589309249e-06)	71.5383667602163	1.2458619589309249e-06	0.0001656572642807065
22:18890000:18900000	22	18890000	18900000	65	65	0	(inf, 3.321076798907358e-137)	inf	3.321076798907358e-137	8.655168948192429e-134
22:18900000:18910000	22	18900000	18910000	95	95	0	(inf, 3.8871645623376515e-200)	inf	3.8871645623376515e-200	2.532617284515058e-196
22:18910000:18920000	22	18910000	18920000	60	60	0	(inf, 1.0315108698528215e-126)	inf	1.0315108698528215e-126	1.9201820440136428e-123
22:21040000:21050000	22	21040000	21050000	6	71	65	(11.556197707419557, 2.2859024066112922e-05)	11.556197707419557	2.2859024066112922e-05	0.0028189431192192
22:21560000:21570000	22	21560000	21570000	20	49	29	(86.33940815888175, 2.2073998147624402e-29)	86.33940815888175	2.2073998147624402e-29	5.7527782372462204e-27
22:21570000:21580000	22	21570000	21580000	46	58	12	(479.9032103497844, 2.0257565005061122e-85)	479.9032103497844	2.0257565005061122e-85	2.083970345204867e-82
22:22700000:22710000	22	22700000	22710000	14	24	10	(175.26899856252996, 7.081638241619689e-24)	175.26899856252996	7.081638241619689e-24	1.5552550682100948e-21
22:22730000:22740000	22	22730000	22740000	5	47	42	(14.903826408378396, 3.6376938525677956e-05)	14.903826408378396	3.6376938525677956e-05	0.004443897752643133
22:22860000:22870000	22	22860000	22870000	11	46	35	(39.346101718118966, 8.048288859761558e-14)	39.346101718118966	8.048288859761558e-14	1.4840740948386736e-11
22:22980000:22990000	22	22980000	22990000	12	122	110	(13.657324563314022, 3.5795936914545383e-10)	13.657324563314022	3.5795936914545383e-10	5.854957179344804e-08
22:23090000:23100000	22	23090000	23100000	5	21	16	(39.12254432199329, 5.727981526323306e-07)	39.12254432199329	5.727981526323306e-07	7.856780836036165e-05
22:23240000:23250000	22	23240000	23250000	39	76	37	(131.95928463202063, 6.221705572282702e-61)	131.95928463202063	6.221705572282702e-61	3.7418294497180826e-58
22:24300000:24310000	22	24300000	24310000	9	29	20	(56.33646382367034, 1.074070296415224e-12)	56.33646382367034	1.074070296415224e-12	1.8913313525884656e-10
22:24320000:24330000	22	24320000	24330000	20	21	1	(2503.8428366075705, 2.0274091677756025e-41)	2503.8428366075705	2.0274091677756025e-41	7.47693199874376e-39
22:42520000:42530000	22	42520000	42530000	29	175	146	(24.86693228137656, 4.302586332352002e-29)	24.86693228137656	4.302586332352002e-29	1.1138854629424136e-26
